user,asset,total_amount
0x000000e28fAA823d5B53ff6C2922c28335840375,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,25165271924743852032
0x0000CE08fa224696A819877070BF378e8B131ACF,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3000000000
0x0006d59d813fDfbc2D8aAF88f6a06c62C477efd4,0xdAC17F958D2ee523a2206206994597C13D831ec7,150000000
0x0008d343091EF8BD3EFA730F6aAE5A26a285C7a2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,16300084285443468288
0x00148dE214db39Faddd9be65F79C20F3c2E138F0,0xdAC17F958D2ee523a2206206994597C13D831ec7,150000000
0x002d8A12DE6185dc69aBa0F5dc07e3f1F63f5b0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,300626505637749056
0x003B6cED7E18B4f1A84B9D04a9aDaD271985Dd21,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,7403900
0x003B6cED7E18B4f1A84B9D04a9aDaD271985Dd21,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,7500000000
0x00409fC839a2Ec2e6d12305423d37Cd011279C09,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,114166705473405648
0x0040DAAC32D83c78546ae36dA42A496B28ab09E1,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000
0x00446F19566fD3B1291ce83e43Fef3Be8AE6753b,0xdAC17F958D2ee523a2206206994597C13D831ec7,1350000000
0x0057Be07BEEF5D9B4Beb9e2d147906e83d1915C8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,68570801638385024
0x00656777f6af0812Dc0aCa11F1da35e98E650382,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,300000000
0x006879f1c97ab715A284128e617a11F1121C929f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,450000000
0x00A130b8aD1C592d100078f34C28fB49BE2E00cC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,56660005968187296
0x00a1a3E7Ff54B90A088F247fCA7b9a226a4eB821,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,300372461852697344
