vault,user,amount
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xF5Ba0bF65011C446e4ED0cDEF94d99cf44C4Cdd8,2000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xbEf90E1da2Ee460b354CEaA78AbBd17569A5092D,12741000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xC3739Bc2A4ceb691Bb014959D2E8D66D63E6A2AD,1000089989828
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x25e6550B87Dc7B3EBDC370bf8FE4D1ba6a896C91,6001000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x58C4f03a954e4CbB1b8E204a881a8e9A99d015Dd,9995960000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x34B36b9dB1bB2D12b9EC5e39027e8e08B66aeB5b,1017130000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x2cE1ddBDCCcbCdf0BB40822cB3D71C55b74fC0a5,146234940000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xEF923434ee92F650088D4cF43074e295C6F1B9e2,2585038000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x042D82b3EaC96d9f5CddC52Fb80FE9d30f11A2a0,50970000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xb0Ea072eBF5CCD39d8c8B5023FFf6C991D024cc0,5000430000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x05c40e7C7FEc945f232C877D5e520b81AB0999e8,1139330000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xaFBc0B23Cb47375fFbD868EbB207525bb59A4155,2003790000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x0158da7441bA1eF9Dbe18cAE7BD59f9f4C87C867,2324878827
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x092E2e53AFCEBE02100Fe4F079e901B12f8408cf,4967500000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x04c3A2Df007fAc4a90FB652721496584051591Da,4998320501
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xF002b6271533Fd337E4BE61b323c45eF551A4B5B,2588150547
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x0FC6f420CBfD181f56E3af7143CE250BE0c0b756,500000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x67a753ba87A78ab82d7487b6564c537d14332b7C,509294889
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x98D56D69EfD64aFcd93AFE41a496c64b8dB20125,9833670
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xFc848DaD0622790b4349D3d0acba19206218615e,10002379
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x2aD81e267e68B18f918EeDC4E677D396CB3537E2,49801629984
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xc942173948390dA7b6e463fF4BaB1CCC756839ac,1255000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x80570a7A9500339EE0d441D079a46F3f86A08c82,75000000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x17aD76129c1290b9974615876B4Ce725B69F5055,595269450
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x7BB5b425065e2FF505c1049eC41f725C1eF27055,4996995073
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x5FFd9d590c28a53492DC746DD3c575a881E92e3A,4000000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xdF86d0057aa1784d7C8c77e8ECC9F2E6462dabDA,8513604256
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xaEB6D0CD83BdB286a8777F7A0576Ba96cc7d2452,15650329898
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x7432643C80914A83325AfaFFB78274DA499De3b5,2098504243
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xdd6559581c40e31C6AC854444B35aE02CC371625,52341330
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xd77D0DcdC7f3aB5D8Cf9588DE88DAf48F6579986,7300500000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xDb10d21f28a34FD04E4425eac777483798f7e217,2992000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xe40E17d79c51dA492E2f521EDbB6e37ce2C8B86C,289088636
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x53d6D99eaf0fCda60B34250b28C47533aA943147,499129920
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x9424cd3E0F0828909C24E00b600E133ca30cec8d,5000000000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x833500df6D94B412161622c777c7B0C82bEF883F,91928047
