vault,user,amount
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0xF5Ba0bF65011C446e4ED0cDEF94d99cf44C4Cdd8,2325
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0xb45A0658148D3f1Bbf8A1ECd10AE21C09e134799,121491
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0x2cE1ddBDCCcbCdf0BB40822cB3D71C55b74fC0a5,16013063
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0xF4DC338B1b1184F84a461f0bb2f974fC90A81456,851423709
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0x4c6452F18D5967F1f7e9884BC5cDFC60452E015A,4000000000
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0x49EA171AE36cd04df48e19008baa667830002a3b,77514
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0xA75d5997a01451F9665B007EbF22374ea50a5290,300000000
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0x2C2Fa8A0B0Aa01169D1F7e2Dc70829572C263d58,336202
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0x18D5A9a7F75E03D48EEE95A18318664d55D958c8,11788233
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0xC1c1fdadD3f76Ff4E34F6f3f0b00F4dB9B539A8F,47100980
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0x3055a5F118F4bF47cD5726580ab2c843A166e775,79654
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0x1fbb2574f28269C0E1285D55E5672C900CB231E3,11467859
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0xe40E17d79c51dA492E2f521EDbB6e37ce2C8B86C,493383
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0x84a6a7c0674A3AA03e09c026600cb46181821f07,1000000000
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0x298eeC00D3f3D262De5Efd7652f3AC3A201DDe86,9806094
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0x31FBe819a046f34A7861C6071594d0c761c8D0B6,3278705
0x92C82f5F771F6A44CfA09357DD0575B81BF5F728,0xFd4520753366d35E5Dc2f76d52dC58a5261eD263,94391
