vault,user,amount
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x52EAF3F04cbac0a4B9878A75AB2523722325D4D4,100000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xd21636cF0Ac83D197dADcCAF149Ef39400303c18,1082000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x2f89cef62F56c85b2eFBC5d18C7ABafaa7dc0a7D,13000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x3255f62BbD1317ed1590228f287be8D602d78443,790000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xF5Ba0bF65011C446e4ED0cDEF94d99cf44C4Cdd8,500000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x1296a8671C9Ff68F970331e4c1E958CA4D5eE591,2000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x927b28327fD41Bd93DF64Ab84A7D7CDC1d250293,100000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x42Af1f245799A0Ca84854728F63DcE7810e6eA07,48730000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xB44B6442B731D9954819470f6f528aa3E65dFF15,50000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xbEf90E1da2Ee460b354CEaA78AbBd17569A5092D,1000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x97518452eC958BE01457e55b96c12BC02a532945,68000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xff1A1AA3f81986CE934F42BE48488a6FDDB38874,1140000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xf4A43B3D0EACdf87521E22373d2aaAf9B3143ef3,5260000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x943Fad332d266b1b8a9EB56Aa62Fc8CCd3a2BD19,201857902043197334
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xfa68E57aF35b2A41F187F2219bf8BdFE515C3037,470000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xC817AaC582A1a05657EBFf378B982E6272Cb4C82,1500000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xC88255D4bbd990f69D84F120668729B9b80d6038,3120000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x2cE1ddBDCCcbCdf0BB40822cB3D71C55b74fC0a5,20000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xBa4CCf6E7a81F5e370efc81760eaf20B1846891b,16500000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x8Aa977BC7ADAa8aE5bb4812BF8048625c9AC68A6,110000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x8a81Cd637974B2ffC7D86D3fb45b0769549cF85D,1124726201314416261
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xDD9bF0A45452a4F22cfd2C963c15B191D97Ce106,25000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x3eAa0CE6E15d24d250993EE9153F846A84779518,10000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x559524b8d5aF5292E4CA30B30eA3DC8261e1DeA4,8019801708738532128
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x94F68749BE6C2e1De2A7d2bb0cF6D1d93269f035,1500000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x051a3190C9342211Eb311723B23B8c7cBD7b5a5D,6711197176307926
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x146A873a68cFb7301Ef237fd8c89688B62e813e2,40000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x1c19ab17D46f46a166d7e0E1c5624c9Af7712C4f,660000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x0F2A0C32461eC211C91e7b7C3722CDfaCCeEcd2d,1004554940238000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xedBbD60Ab6797dD84D47ef207bB03A3D331F75a1,7800000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x26BE7FF2cb732c05c9Ce131016eaD16AEa248B61,1000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x3994537274f3fF3eefc413E0D669b05D6446D46b,100000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x380070021A7584F3b98e25119AA510a6520705C9,420000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x6D526f6b4C86FBdc8e359e6bef4Cd6a42aceA2d7,500000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x9479fd26e9149C7044777472561041B1C2345FB8,835744737877467776
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x3Bb0314C0d930a11233C079f738F6da782Dc3F1F,113000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x4a5Be564536D0b731491B862Fc8c20277bf5fD85,3000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x700CE029b0f9d89491321199908E6a46C38e8e9A,2470000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xE04885c3f1419C6E8495C33bDCf5F8387cd88846,100000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x99B9B86B71c32e215CB81e33999208941D308C04,1000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x6AF235d2Bbe050e6291615B71CA5829658810142,400000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x641F5F14c08C82919FE3aA1202bA278F44C4d095,33480000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x8D34485F90EE5DDB28D5CA9B30C9A69F15Fee436,4000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xe0c7BF5348b6F7f68C1D5338E0c8854A5d8AD733,1005548814886530557
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xe32e3BD2EC560513CaB4757564cA50D13cAF9F7F,2500000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x49EA171AE36cd04df48e19008baa667830002a3b,30000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x68B8e7877Bc2cDB75938F0Aa4AfD83901d1b3952,10190000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x36B5eDB9fEa0634FC4f4388c8cF8A2C8c7125123,1011675527775431976
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x75fE6A3c9ceF89B32454435eF426C9C9Eff0DB79,196500000000000020
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x90B9935434fBb5DEF57F064F3409d219827fDD96,73781984918101849996
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x7dFd5BD3Cbc1Aa89Ba7f03A7518D682Fe1f919ab,200000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x8b22864BA31acCC3a72169c57b7f797F94c44923,100000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x7EEb721153059F4dBFd6c18EACEB65c76E94A6AD,310000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x9055A8D43E59caf4200FdB986b7b43937cC4105F,650000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x8D45176f4a63E5A2B84d3dF497ae27C8E68561F6,60000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xdDFF071444F42372B414AB6d269285E95489C09E,650000000000000009
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x025E545E693CfEB629bB5B7Be72fEA50Fa772774,600000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x5245C27B39368d50266fc486f3921E67100c98aA,25000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xD8A0c61F382B059AdFb4F61995682D5A83C533aB,1108308083615748697
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x646Ab64D7f4C5e00F39341315735f5e35dfadC85,110000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xE831C8903de820137c13681E78A5780afDdf7697,600000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x948e8f4F4FdEde57E9e4ccd34BE3397FC763f5eF,4600000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x00C0AE5C3685b4023881342C951fbe19BbAbC9Bc,450000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x4b79B849B809AcddDf9256DC5e8A2A5055f4c76D,9600000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xcF098Bf1d2574Cd81827FdFcfeF7acFbb31BC537,17000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x6210374Ae19557317AFCe0c15196f2F9AB7fe7Bb,70000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x78F9a8F255f6bf072E8869b574ca12E65369e37A,2404331104124456900
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x962aCB342148E34a522C3B09997932A7Bda27754,2000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xBa6b3Efce731022131AcB5A63bC043FA12eaeaD3,30000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x96977d15ee849bcbB23Ea88F0517e1e4fAad81D4,207500000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x7a12b0327d2316B1685e15fC2d94975200732789,4000000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xA0f62e380B71A4b9c3639aaBf10465C1d44B9ea8,4940085546848149127
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0x07371dFECbb2497acD5d1f960E072F0d7AA835B5,4500000000000000000
0xcc6a16Be713f6a714f68b0E1f4914fD3db15fBeF,0xDc0aA8E0950dfeabc297Da2C2299EA5B9411d6d6,150000000000000000
